patch_id,input
S2B_MSIL2A_20180521T100029_N9999_R122_T34WFS_64_38,"Explain the observed features in the image, specifying the geographic and seasonal context."
S2B_MSIL2A_20170817T101019_N9999_R022_T34WFS_29_86,"Describe the content of the satellite image, including where and when it was captured and the landscape composition."
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_46_84,"Provide a detailed summary of the scene, including the location and distribution of different land cover types."
S2B_MSIL2A_20170906T101019_N9999_R022_T34WFS_49_07,"Describe the image, noting where it was captured, the season, and the distribution of land cover types."
S2B_MSIL2A_20170924T093019_N9999_R136_T35VNH_09_21,"Describe the satellite scene, including the region, time of year, and land cover classes."
S2A_MSIL2A_20170905T095031_N9999_R079_T35VNL_30_01,"Provide a detailed summary of the scene, including the location and distribution of different land cover types."
S2A_MSIL2A_20171002T112111_N9999_R037_T29SNB_41_81,"Describe the content of the satellite image, including where and when it was captured and the landscape composition."
S2B_MSIL2A_20170824T100019_N9999_R122_T33TWM_49_09,"Describe the content of the image, including the region, climate zone, and land cover distribution."
S2B_MSIL2A_20170824T100019_N9999_R122_T33TWM_64_00,Describe the satellite image in detail.
S2A_MSIL2A_20171201T112431_N9999_R037_T29SNB_90_31,"Provide a comprehensive description of the scene, including the location, seasonal context and land cover distribution."
S2A_MSIL2A_20170905T095031_N9999_R079_T35VNL_43_28,"Provide a description of this image, including the location, season, and distribution of land cover types."
S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_52_22,"Describe the landscape shown in this satellite image, mentioning the region, climate, and land cover classes."
S2B_MSIL2A_20180525T094029_N9999_R036_T35VNK_41_62,"Provide a detailed summary of the scene, including the location and distribution of different land cover types."
S2B_MSIL2A_20180326T112109_N9999_R037_T29SNB_45_47,"Explain the observed features in the image, specifying the geographic and seasonal context."
S2B_MSIL2A_20180521T100029_N9999_R122_T34WFS_42_70,"Describe this satellite image, noting the region, seasonal context, and distribution of land cover types."
S2A_MSIL2A_20171002T112111_N9999_R037_T29SNB_37_22,"Provide an description of the image content, highlighting the geographic location, season, and spatial patterns."
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_40_17,Describe this image in detail.
S2A_MSIL2A_20180506T100031_N9999_R122_T33UWP_05_80,"Explain what can be seen in this satellite image, specifying where and when it was captured."
S2B_MSIL2A_20180521T100029_N9999_R122_T34WFS_80_02,"Provide a summary of the scene, including geographic information, season, and land cover classes."
S2A_MSIL2A_20170905T095031_N9999_R079_T35VNL_50_89,"Provide a detailed description of the image, specifying the geographic region and land cover types."
S2B_MSIL2A_20180515T094029_N9999_R036_T35VNJ_81_68,"Explain the landscape features visible in this image, including where and when it was captured."
S2B_MSIL2A_20180421T100029_N9999_R122_T33TWN_13_36,"Describe the landscape shown in this satellite image, mentioning the region, climate, and land cover classes."
S2A_MSIL2A_20180506T100031_N9999_R122_T33UWP_59_83,"Describe the observed landscape, specifying the geographic location, season, and land cover composition."
S2B_MSIL2A_20180502T093039_N9999_R136_T34TEP_18_87,"Describe this satellite image, noting the region, seasonal context, and distribution of land cover types."
S2B_MSIL2A_20171112T114339_N9999_R123_T29UPU_81_29,Describe the satellite image in detail.
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_85_86,"Provide an analysis of the satellite image, mentioning the geographic location, season, and land cover features."
S2B_MSIL2A_20180326T112109_N9999_R037_T29SNB_86_57,"Describe the observed landscape, specifying the geographic location, season, and land cover composition."
S2B_MSIL2A_20180521T100029_N9999_R122_T34WFS_83_76,"Explain the landscape features visible in this image, including where and when it was captured."
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_47_48,"Provide a detailed summary of the scene, including the location and distribution of different land cover types."
S2B_MSIL2A_20170930T095019_N9999_R079_T34UEG_62_42,"Describe the landscape shown in this satellite image, mentioning the region, climate, and land cover classes."
S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_01_11,"Provide a detailed summary of the scene, including the location and distribution of different land cover types."
S2B_MSIL2A_20180525T094029_N9999_R036_T35VNL_75_03,"Explain the landscape features visible in this image, including where and when it was captured."
S2A_MSIL2A_20180430T094031_N9999_R036_T34TCR_73_23,"Explain the features in the image, highlighting the geographic context, season, and land cover classes."
S2A_MSIL2A_20180413T095031_N9999_R079_T35VLG_27_57,"Provide a comprehensive description of the scene, including the location, seasonal context and land cover distribution."
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_72_44,"Provide an analysis of the satellite image, mentioning the geographic location, season, and land cover features."
S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_46_35,"Provide a description of this satellite image, including its geographic location, season, and land cover types."
S2B_MSIL2A_20170927T094019_N9999_R036_T35ULB_84_69,"Explain the observed features in the image, specifying the geographic and seasonal context."
S2B_MSIL2A_20170924T093019_N9999_R136_T35VPK_09_04,"Provide a description of this image, including the location, season, and distribution of land cover types."
S2A_MSIL2A_20171201T112431_N9999_R037_T29SNB_28_85,"Provide a summary of the scene, including geographic information, season, and land cover classes."
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_01_56,"Explain the landscape features visible in this image, including where and when it was captured."
S2B_MSIL2A_20180417T102019_N9999_R065_T34WFV_83_85,"Provide a summary of the scene, including geographic information, season, and land cover classes."
S2B_MSIL2A_20180521T100029_N9999_R122_T34WFS_04_65,"Explain the landscape features visible in this image, including where and when it was captured."
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_69_37,"Describe this satellite image, noting the region, seasonal context, and distribution of land cover types."
S2B_MSIL2A_20170808T094029_N9999_R036_T35ULA_15_13,"Describe the content of the image, including the region, climate zone, and land cover distribution."
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_12_33,"Describe this satellite image, including the location, season, and observed land cover."
S2A_MSIL2A_20171201T112431_N9999_R037_T29SNB_32_07,"Provide a summary of the scene, including geographic information, season, and land cover classes."
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_20_07,"Explain what this satellite image shows, mentioning the location, season, and landscape features."
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_08_41,"Provide an analysis of the satellite image, mentioning the geographic location, season, and land cover features."
S2A_MSIL2A_20180225T114351_N9999_R123_T29UPU_41_59,"Describe the content of the image, including the region, climate zone, and land cover distribution."
S2B_MSIL2A_20170927T094019_N9999_R036_T35ULB_67_10,"Provide an analysis of the satellite image, mentioning the geographic location, season, and land cover features."
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_65_88,"Describe the landscape shown in this satellite image, mentioning the region, climate, and land cover classes."
S2B_MSIL2A_20170808T094029_N9999_R036_T35ULA_17_37,"Give a detailed overview of the image content, including the geographic location and land cover features."
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_04_76,"Provide a detailed description of the image, specifying the geographic region and land cover types."
S2A_MSIL2A_20180413T095031_N9999_R079_T34UEG_40_54,"Describe the image, specifying the region, climate, and landscape features."
S2B_MSIL2A_20180515T112109_N9999_R037_T29SND_17_78,"Give a detailed overview of the image content, including the geographic location and land cover features."
S2A_MSIL2A_20170905T095031_N9999_R079_T35VNL_20_20,"Explain the observed land cover and spatial patterns, including the location and climate context."
S2A_MSIL2A_20170905T095031_N9999_R079_T35VNL_01_07,"Provide an description of the image content, highlighting the geographic location, season, and spatial patterns."
S2B_MSIL2A_20180220T114339_N9999_R123_T29UPV_56_47,"Provide a detailed description, mentioning the location, seasonal context, and different land covers."
S2A_MSIL2A_20180510T094031_N9999_R036_T35VLC_05_50,"Describe the content of the satellite image, including where and when it was captured and the landscape composition."
S2B_MSIL2A_20180521T100029_N9999_R122_T34WFS_46_18,"Describe this satellite image, noting the region, seasonal context, and distribution of land cover types."
S2A_MSIL2A_20171002T112111_N9999_R037_T29SNB_77_68,"Explain what can be seen in this satellite image, specifying where and when it was captured."
S2B_MSIL2A_20170924T093019_N9999_R136_T35VPK_29_73,Describe this image in detail.
S2B_MSIL2A_20180525T094029_N9999_R036_T35VNL_53_79,"Provide an description of the image content, highlighting the geographic location, season, and spatial patterns."
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_43_56,"Explain what this image shows, including the region, climate zone, and land cover characteristics."
S2A_MSIL2A_20180506T100031_N9999_R122_T33UWP_07_27,"Provide an description of the image content, highlighting the geographic location, season, and spatial patterns."
S2A_MSIL2A_20180225T114351_N9999_R123_T29UPU_35_75,"Explain the content of the image, highlighting the location, seasonal context, and land cover distribution."
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_15_04,"Explain the features in the image, highlighting the geographic context, season, and land cover classes."
S2B_MSIL2A_20171112T114339_N9999_R123_T29UPU_27_85,"Describe the content of the image, including the region, climate zone, and land cover distribution."
S2B_MSIL2A_20170924T093019_N9999_R136_T35VNH_64_14,"Describe this satellite image, including the location, season, and observed land cover."
S2A_MSIL2A_20171002T112111_N9999_R037_T29SNB_52_63,"Explain the content of the image, highlighting the location, seasonal context, and land cover distribution."
S2B_MSIL2A_20180521T100029_N9999_R122_T34WFS_77_35,"Provide a detailed description of the image, specifying the geographic region and land cover types."
S2B_MSIL2A_20170930T095019_N9999_R079_T34UEG_65_79,"Describe the landscape shown in this satellite image, mentioning the region, climate, and land cover classes."
S2B_MSIL2A_20180515T112109_N9999_R037_T29SNC_11_79,"Explain the distribution of land cover in this image, including the geographic region and season."
S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_85_52,"Describe the observed landscape, specifying the geographic location, season, and land cover composition."
S2B_MSIL2A_20180525T094029_N9999_R036_T35VNL_11_11,"Provide an analysis of the satellite image, mentioning the geographic location, season, and land cover features."
S2B_MSIL2A_20171112T114339_N9999_R123_T29UPU_81_34,"Describe this satellite image, noting the region, seasonal context, and distribution of land cover types."
S2B_MSIL2A_20180421T100029_N9999_R122_T33TWM_13_04,Describe the satellite image in detail.
S2B_MSIL2A_20170906T101019_N9999_R022_T34VDN_06_77,"Describe the content of the image, including the region, climate zone, and land cover distribution."
S2A_MSIL2A_20170905T095031_N9999_R079_T35VNL_10_58,"Provide an description of the image content, highlighting the geographic location, season, and spatial patterns."
S2B_MSIL2A_20180417T102019_N9999_R065_T34WFV_60_35,"Explain what this image shows, including the region, climate zone, and land cover characteristics."
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_72_12,"Describe the satellite scene, including the region, time of year, and land cover classes."
S2B_MSIL2A_20180515T112109_N9999_R037_T29SND_08_34,"Describe the landscape shown in this satellite image, mentioning the region, climate, and land cover classes."
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_14_52,"Explain the observed land cover and spatial patterns, including the location and climate context."
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_08_66,Describe the satellite image in detail.
S2A_MSIL2A_20180225T114351_N9999_R123_T29UPU_68_15,"Explain the content of the image, highlighting the location, seasonal context, and land cover distribution."
S2B_MSIL2A_20180502T093039_N9999_R136_T34TEP_84_41,"Give a comprehensive overview of the image, specifying the location, climate, and landscape features."
S2B_MSIL2A_20170924T093019_N9999_R136_T35VPK_16_89,"Describe the image, noting where it was captured, the season, and the distribution of land cover types."
S2A_MSIL2A_20170813T112121_N9999_R037_T29SNC_71_59,"Explain the landscape features visible in this image, including where and when it was captured."
S2B_MSIL2A_20180515T112109_N9999_R037_T29SND_79_02,"Explain the features in the image, highlighting the geographic context, season, and land cover classes."
S2B_MSIL2A_20180220T114339_N9999_R123_T29UPV_90_63,"Provide a detailed description, mentioning the location, seasonal context, and different land covers."
S2A_MSIL2A_20171104T095201_N9999_R079_T33TXN_03_36,"Explain the observed features in the image, specifying the geographic and seasonal context."
S2A_MSIL2A_20171210T101411_N9999_R022_T33UWP_04_00,"Explain what can be seen in this satellite image, specifying where and when it was captured."
S2A_MSIL2A_20171002T112111_N9999_R037_T29SNC_51_88,"Describe the landscape shown in this satellite image, mentioning the region, climate, and land cover classes."
S2A_MSIL2A_20180430T094031_N9999_R036_T34TCR_76_10,"Give a comprehensive overview of the image, specifying the location, climate, and landscape features."
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_49_06,"Provide a detailed description of the image, specifying the geographic region and land cover types."
S2B_MSIL2A_20180224T112109_N9999_R037_T29SNC_17_15,"Provide a description of this image, including the location, season, and distribution of land cover types."
S2B_MSIL2A_20170924T093019_N9999_R136_T35VPK_61_55,"Describe the landscape shown in this satellite image, mentioning the region, climate, and land cover classes."
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_12_75,"Provide a detailed description, mentioning the location, seasonal context, and different land covers."
S2B_MSIL2A_20170906T101019_N9999_R022_T34WFS_60_81,"Provide a description of this image, including the location, season, and distribution of land cover types."
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_88_11,"Explain what can be seen in this satellite image, specifying where and when it was captured."
S2B_MSIL2A_20170924T093019_N9999_R136_T35VPK_09_06,"Explain the observed features in the image, specifying the geographic and seasonal context."
S2B_MSIL2A_20180515T112109_N9999_R037_T29SNC_79_84,"Provide an analysis of the satellite image, mentioning the geographic location, season, and land cover features."
S2B_MSIL2A_20180326T112109_N9999_R037_T29SNB_49_47,"Explain what this image shows, including the region, climate zone, and land cover characteristics."
S2B_MSIL2A_20180502T093039_N9999_R136_T34TEP_20_02,"Provide a detailed description, mentioning the location, seasonal context, and different land covers."
S2B_MSIL2A_20180515T112109_N9999_R037_T29SND_59_58,"Explain the landscape features visible in this image, including where and when it was captured."
S2B_MSIL2A_20180220T114339_N9999_R123_T29UPV_29_82,Describe the satellite image in detail.
S2A_MSIL2A_20180510T094031_N9999_R036_T35VLC_66_79,"Provide a comprehensive description of the scene, including the location, seasonal context and land cover distribution."
S2B_MSIL2A_20180521T100029_N9999_R122_T34WFS_70_10,"Provide a summary of the scene, including geographic information, season, and land cover classes."
S2B_MSIL2A_20170817T101019_N9999_R022_T34WFS_30_86,"Explain what this image shows, including the region, climate zone, and land cover characteristics."
S2B_MSIL2A_20180502T093039_N9999_R136_T34TEP_69_01,"Explain the landscape features visible in this image, including where and when it was captured."
S2A_MSIL2A_20170813T112121_N9999_R037_T29SNC_61_65,"Explain what this satellite image shows, mentioning the location, season, and landscape features."
S2B_MSIL2A_20180515T094029_N9999_R036_T35VNJ_83_31,"Explain the landscape features visible in this image, including where and when it was captured."
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEP_34_70,Describe this image in detail.
S2B_MSIL2A_20170709T094029_N9999_R036_T35VNL_31_17,"Provide a comprehensive description of the scene, including the location, seasonal context and land cover distribution."
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_74_64,"Give a detailed overview of the image content, including the geographic location and land cover features."
S2B_MSIL2A_20180515T112109_N9999_R037_T29SND_22_53,Describe this image in detail.
S2A_MSIL2A_20180225T114351_N9999_R123_T29UPU_81_47,"Provide a detailed description, mentioning the location, seasonal context, and different land covers."
S2A_MSIL2A_20171201T112431_N9999_R037_T29SNB_78_03,"Describe the landscape shown in this satellite image, mentioning the region, climate, and land cover classes."
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_37_72,Describe this image in detail.
S2B_MSIL2A_20180515T112109_N9999_R037_T29SND_03_42,"Explain what can be seen in this satellite image, specifying where and when it was captured."
S2A_MSIL2A_20180430T094031_N9999_R036_T34TCR_34_61,"Provide a detailed description of the image, specifying the geographic region and land cover types."
S2B_MSIL2A_20170924T093019_N9999_R136_T35VPK_23_82,"Describe the observed landscape, specifying the geographic location, season, and land cover composition."
S2B_MSIL2A_20170924T093019_N9999_R136_T35VNH_26_39,"Describe the image, specifying the region, climate, and landscape features."
S2B_MSIL2A_20171112T114339_N9999_R123_T29UPU_12_29,"Describe the image, specifying the region, climate, and landscape features."
S2A_MSIL2A_20180225T114351_N9999_R123_T29UPU_90_30,"Explain the observed land cover and spatial patterns, including the location and climate context."
S2A_MSIL2A_20180413T095031_N9999_R079_T35VLG_68_01,"Explain what this satellite image shows, mentioning the location, season, and landscape features."
S2A_MSIL2A_20180506T100031_N9999_R122_T33UWP_72_36,"Describe the image, specifying the region, climate, and landscape features."
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_13_85,"Describe the satellite scene, including the region, time of year, and land cover classes."
S2A_MSIL2A_20171201T112431_N9999_R037_T29SNB_63_46,"Provide an description of the image content, highlighting the geographic location, season, and spatial patterns."
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEQ_10_55,"Explain the content of the image, highlighting the location, seasonal context, and land cover distribution."
S2A_MSIL2A_20180413T095031_N9999_R079_T35VLG_77_27,"Provide a description of this satellite image, including its geographic location, season, and land cover types."
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEP_86_17,"Provide an analysis of the satellite image, mentioning the geographic location, season, and land cover features."
S2B_MSIL2A_20170924T093019_N9999_R136_T35VPK_70_44,"Describe this satellite image, noting the region, seasonal context, and distribution of land cover types."
S2B_MSIL2A_20180521T100029_N9999_R122_T34WFS_64_12,"Explain the distribution of land cover in this image, including the geographic region and season."
S2B_MSIL2A_20180515T112109_N9999_R037_T29SND_85_71,"Explain the observed land cover and spatial patterns, including the location and climate context."
S2B_MSIL2A_20180525T094029_N9999_R036_T35VNK_51_35,"Describe the image, specifying the region, climate, and landscape features."
S2B_MSIL2A_20180204T094159_N9999_R036_T35VPK_25_03,"Explain the content of the image, highlighting the location, seasonal context, and land cover distribution."
S2B_MSIL2A_20170709T094029_N9999_R036_T35VNL_89_41,"Describe this satellite image, including the location, season, and observed land cover."
S2B_MSIL2A_20170927T094019_N9999_R036_T35ULB_03_23,"Explain the features in the image, highlighting the geographic context, season, and land cover classes."
S2B_MSIL2A_20180421T100029_N9999_R122_T33TWN_14_77,"Explain what can be seen in this satellite image, specifying where and when it was captured."
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEP_49_85,"Describe the content of the image, including the region, climate zone, and land cover distribution."
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_75_77,"Explain what this image shows, including the region, climate zone, and land cover characteristics."
S2B_MSIL2A_20180515T112109_N9999_R037_T29SND_66_58,"Explain what this satellite image shows, mentioning the location, season, and landscape features."
S2A_MSIL2A_20180225T114351_N9999_R123_T29UPU_55_54,"Explain the observed features in the image, specifying the geographic and seasonal context."
S2B_MSIL2A_20170927T094019_N9999_R036_T35ULB_85_27,"Provide a detailed description of the image, specifying the geographic region and land cover types."
S2B_MSIL2A_20180421T100029_N9999_R122_T33TWN_30_02,"Provide an analysis of the satellite image, mentioning the geographic location, season, and land cover features."
S2A_MSIL2A_20180413T095031_N9999_R079_T35VLG_48_02,"Describe the content of the satellite image, including where and when it was captured and the landscape composition."
S2B_MSIL2A_20180525T094029_N9999_R036_T35VNL_11_42,"Explain the landscape features visible in this image, including where and when it was captured."
S2A_MSIL2A_20170905T095031_N9999_R079_T35VNL_38_04,Describe the satellite image in detail.
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEQ_31_37,"Provide a description of this satellite image, including its geographic location, season, and land cover types."
S2B_MSIL2A_20170924T093019_N9999_R136_T35VNH_20_85,"Describe the content of the image, including the region, climate zone, and land cover distribution."
S2B_MSIL2A_20171112T114339_N9999_R123_T29UPU_41_67,"Describe this satellite image, noting the region, seasonal context, and distribution of land cover types."
S2A_MSIL2A_20171101T094131_N9999_R036_T35VNK_73_02,"Describe the image, noting where it was captured, the season, and the distribution of land cover types."
S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_63_08,"Explain the content of the image, highlighting the location, seasonal context, and land cover distribution."
S2B_MSIL2A_20170906T101019_N9999_R022_T34VDN_88_39,"Explain the content of the image, highlighting the location, seasonal context, and land cover distribution."
S2B_MSIL2A_20180421T100029_N9999_R122_T33TWM_66_06,"Describe the satellite scene, including the region, time of year, and land cover classes."
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_87_25,"Describe this satellite image, including the location, season, and observed land cover."
S2B_MSIL2A_20180521T100029_N9999_R122_T34WFS_82_13,"Explain what can be seen in this satellite image, specifying where and when it was captured."
S2B_MSIL2A_20180417T102019_N9999_R065_T34WFV_86_54,"Describe the image, noting where it was captured, the season, and the distribution of land cover types."
S2B_MSIL2A_20180224T112109_N9999_R037_T29SNC_12_54,"Describe the image, specifying the region, climate, and landscape features."
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEQ_04_85,"Explain the features in the image, highlighting the geographic context, season, and land cover classes."
S2A_MSIL2A_20180506T100031_N9999_R122_T33UWP_50_63,"Explain the features in the image, highlighting the geographic context, season, and land cover classes."
S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_68_16,"Describe the image, specifying the region, climate, and landscape features."
S2B_MSIL2A_20170906T101019_N9999_R022_T34WFS_10_46,"Explain what can be seen in this satellite image, specifying where and when it was captured."
S2A_MSIL2A_20171002T112111_N9999_R037_T29SNC_03_19,"Explain the distribution of land cover in this image, including the geographic region and season."
S2B_MSIL2A_20180127T102259_N9999_R065_T34VDN_07_90,"Provide a description of this image, including the location, season, and distribution of land cover types."
S2B_MSIL2A_20171112T114339_N9999_R123_T29UPU_23_10,"Provide a summary of the scene, including geographic information, season, and land cover classes."
S2B_MSIL2A_20180525T094029_N9999_R036_T35VNL_62_84,"Provide a detailed description of the image, specifying the geographic region and land cover types."
S2B_MSIL2A_20170924T093019_N9999_R136_T35VPK_18_21,"Give a comprehensive overview of the image, specifying the location, climate, and landscape features."
S2A_MSIL2A_20180506T100031_N9999_R122_T33UWP_90_08,"Explain the observed land cover and spatial patterns, including the location and climate context."
S2A_MSIL2A_20180225T114351_N9999_R123_T29UPU_24_45,"Describe this satellite image, noting the region, seasonal context, and distribution of land cover types."
S2B_MSIL2A_20180326T112109_N9999_R037_T29SNB_06_67,"Provide an description of the image content, highlighting the geographic location, season, and spatial patterns."
S2A_MSIL2A_20171101T094131_N9999_R036_T35VNK_86_21,"Explain what this image shows, including the region, climate zone, and land cover characteristics."
S2A_MSIL2A_20171002T112111_N9999_R037_T29SNC_80_55,"Explain the landscape features visible in this image, including where and when it was captured."
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_61_23,"Explain the observed features in the image, specifying the geographic and seasonal context."
S2B_MSIL2A_20180521T100029_N9999_R122_T34WFS_37_77,"Describe the satellite scene, including the region, time of year, and land cover classes."
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_05_67,"Describe this satellite image, noting the region, seasonal context, and distribution of land cover types."
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEP_20_78,"Give a detailed overview of the image content, including the geographic location and land cover features."
S2B_MSIL2A_20180515T094029_N9999_R036_T35VNJ_61_33,"Describe the image, specifying the region, climate, and landscape features."
S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_79_84,"Explain the observed features in the image, specifying the geographic and seasonal context."
S2B_MSIL2A_20180220T114339_N9999_R123_T29UPV_13_64,"Describe the observed landscape, specifying the geographic location, season, and land cover composition."
S2B_MSIL2A_20180515T112109_N9999_R037_T29SNC_07_49,"Describe this satellite image, including the location, season, and observed land cover."
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_55_41,"Describe this satellite image, noting the region, seasonal context, and distribution of land cover types."
S2A_MSIL2A_20170701T093031_N9999_R136_T35VPK_73_01,"Provide a detailed description of the image, specifying the geographic region and land cover types."
S2B_MSIL2A_20180515T094029_N9999_R036_T35VNJ_85_85,"Describe the landscape shown in this satellite image, mentioning the region, climate, and land cover classes."
S2B_MSIL2A_20180502T093039_N9999_R136_T34TEP_69_85,"Explain the features in the image, highlighting the geographic context, season, and land cover classes."
S2B_MSIL2A_20170924T093019_N9999_R136_T35VPK_08_65,Describe the satellite image in detail.
S2B_MSIL2A_20180515T112109_N9999_R037_T29SND_62_70,"Provide an analysis of the satellite image, mentioning the geographic location, season, and land cover features."
S2B_MSIL2A_20180525T094029_N9999_R036_T35VNK_58_81,"Provide an description of the image content, highlighting the geographic location, season, and spatial patterns."
S2B_MSIL2A_20180326T112109_N9999_R037_T29SNB_84_50,"Provide a description of this image, including the location, season, and distribution of land cover types."
S2B_MSIL2A_20170817T101019_N9999_R022_T34WFS_58_59,"Provide a detailed description of the image, specifying the geographic region and land cover types."
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_75_47,"Explain the observed features in the image, specifying the geographic and seasonal context."
S2B_MSIL2A_20180525T094029_N9999_R036_T35VNL_16_67,"Explain the observed land cover and spatial patterns, including the location and climate context."
S2B_MSIL2A_20170817T101019_N9999_R022_T34WFS_43_07,"Describe the image, noting where it was captured, the season, and the distribution of land cover types."
S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_76_46,"Describe the landscape shown in this satellite image, mentioning the region, climate, and land cover classes."
S2B_MSIL2A_20180521T100029_N9999_R122_T34WFS_43_58,"Explain the observed land cover and spatial patterns, including the location and climate context."
S2B_MSIL2A_20180220T114339_N9999_R123_T29UPV_56_12,"Provide a detailed description of the image, specifying the geographic region and land cover types."
S2A_MSIL2A_20170813T112121_N9999_R037_T29SNC_05_17,"Describe the observed landscape, specifying the geographic location, season, and land cover composition."
S2B_MSIL2A_20171112T114339_N9999_R123_T29UPU_46_54,"Give a detailed overview of the image content, including the geographic location and land cover features."
S2B_MSIL2A_20180421T114349_N9999_R123_T29UPU_79_83,"Provide a summary of the scene, including geographic information, season, and land cover classes."
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_83_44,"Explain what this satellite image shows, mentioning the location, season, and landscape features."
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_04_48,"Provide a summary of the scene, including geographic information, season, and land cover classes."
S2B_MSIL2A_20180515T112109_N9999_R037_T29SND_87_52,"Explain the observed land cover and spatial patterns, including the location and climate context."
S2A_MSIL2A_20171201T112431_N9999_R037_T29SNB_74_32,Describe this image in detail.
S2B_MSIL2A_20180225T105019_N9999_R051_T31UER_79_07,"Provide a description of this image, including the location, season, and distribution of land cover types."
S2B_MSIL2A_20170930T095019_N9999_R079_T34UEG_68_22,"Explain the landscape features visible in this image, including where and when it was captured."
S2B_MSIL2A_20170709T094029_N9999_R036_T35VNL_03_55,"Provide a comprehensive description of the scene, including the location, seasonal context and land cover distribution."
S2B_MSIL2A_20180525T094029_N9999_R036_T35VNK_08_33,"Explain the observed features in the image, specifying the geographic and seasonal context."
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_85_30,"Describe the content of the image, including the region, climate zone, and land cover distribution."
S2A_MSIL2A_20170617T113321_N9999_R080_T29UPU_89_18,"Describe the observed landscape, specifying the geographic location, season, and land cover composition."
S2B_MSIL2A_20170709T094029_N9999_R036_T35VNL_24_04,"Provide a summary of the scene, including geographic information, season, and land cover classes."
S2B_MSIL2A_20180224T112109_N9999_R037_T29SNC_35_37,"Describe the content of the image, including the region, climate zone, and land cover distribution."
S2B_MSIL2A_20170924T093019_N9999_R136_T35VPK_18_39,"Explain the features in the image, highlighting the geographic context, season, and land cover classes."
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_59_50,"Describe this satellite image, noting the region, seasonal context, and distribution of land cover types."
S2B_MSIL2A_20180326T112109_N9999_R037_T29SNB_57_34,"Describe the image, specifying the region, climate, and landscape features."
S2B_MSIL2A_20180521T100029_N9999_R122_T34WFS_82_83,"Provide a comprehensive description of the scene, including the location, seasonal context and land cover distribution."
S2B_MSIL2A_20180224T112109_N9999_R037_T29SNC_82_09,"Explain what this satellite image shows, mentioning the location, season, and landscape features."
S2B_MSIL2A_20170808T094029_N9999_R036_T35ULA_39_10,"Provide a detailed summary of the scene, including the location and distribution of different land cover types."
S2B_MSIL2A_20180515T112109_N9999_R037_T29SND_76_89,"Describe this satellite image, noting the region, seasonal context, and distribution of land cover types."
S2A_MSIL2A_20171121T112351_N9999_R037_T29SND_00_60,Describe the satellite image in detail.
S2B_MSIL2A_20180515T112109_N9999_R037_T29SND_34_32,"Provide a detailed description of the image, specifying the geographic region and land cover types."
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEP_07_58,"Provide a detailed description of the image, specifying the geographic region and land cover types."
